title,poet,poem
আলতা-স্মৃতি,কাজী নজরুল ইসলাম,"ওই রাঙা পায়ে রাঙা আলতা প্রথম যেদিন পরেছিলে,
সেদিন তুমি আমায় কি গো ভুলেও মনে করেছিলে –
আলতা যেদিন পরেছিলে?

জানি, তোমার নারীর মনে নিত্য-নূতন পাওয়ার পিয়াস
হঠাৎ কেন জাগল সেদিন, কণ্ঠ ফেটে কাঁদল তিয়াস!
মোর আসনে সেদিন রানি
নূতন রাজায় বরলে আনি,
আমার রক্তে চরণ রেখে তাহার বুকে মরেছিলে –
আলতা যেদিন পরেছিলে।

মর্মমূলে হানলে আমার অবিশ্বাসের তীক্ষ্ম ছুরি,
সে-খুন সখায় অর্ঘ্য দিলে যুগল চরণ-পদ্মে পুরি।
আমার প্রাণের রক্তকমল
নিঙড়ে হল লাল পদতল,
সেই শতদল দিয়ে তোমার নতুন রাজায় বরেছিলে –
আলতা যেদিন পরেছিলে।

আমায় হেলায় হত্যা করে দাঁড়িয়ে আমার রক্ত-বুকে
অধর-আঙুর নিঙড়েছিলে সখার তৃষা-শুষ্ক মুখে।
আলতা সে নয়, সে যে খালি
আমার যত চুমোর লালি!
খেলতে হোরি তাইতে, গোরি, চরণতরি ভরেছিলে –
আলতা যেদিন পরেছিলে।

জানি রানি, এমনি করে আমার বুকের রক্তধারায়
আমারই প্রেম জন্মে জন্মে তোমার পায়ে আলতা পরায়!
এবারও সেই আলতা-চরণ
দেখতে প্রথম পায়নি নয়ন!
মরণ-শোষা রক্ত আমার চরণ-ধারে ধরেছিলে –
আলতা যেদিন পরেছিলে।

কাহার পুলক-অলক্তকের রক্তধারায় ডুবিয়ে চরণ
উদাসিনী! যেচেছিলে মনের মনে আমার মরণ?
আমার সকল দাবি দলে
লিখলে ‘বিদায়’ চরণতলে!
আমার মরণ দিয়ে তোমার সখার হৃদয় হরেছিলে –
আলতা যেদিন পরেছিলে।"
আলেয়া,জীবনানন্দ দাশ,
আলো অন্ধকার,শামসুর রাহমান,"বৃষ্টির সেহ্‌রা পরে ফ্ল্যাটবাড়িটা দাঁড়ানো
রাস্তার ধারে। তোমার ড্রইরুমে
আমরা দুজন গল্প করছি এটা সেটা নিয়ে, মাঝে মাঝে
পড়ছি কবিতা। কখনো জীবনানন্দের
দারুচিনি দ্বীপের ভেতর আমার প্রবেশ,
কখনো বা আলিঙ্গনরহিত অঙ্গে অঙ্গে
ইয়েটস-এর শাদা পাখির পাখার ঝাপট
আর সমুদ্রের ফেনা ছুঁয়ে যাওয়া। এক সময় চায়ে
চুমুক দিতে দিতে
ছন্দ বিষয়ে তোমার কৌতুহল চড় ইয়ের আঙ্গিক।

আমার কাছ থেকে তুলে নিচ্ছিলে জবাব,
যেমন পাখি ফলমূল
চঞ্চু দিয়ে। টিপয়ে শূন্য চায়ের কাপ আর
স্ন্যাকস-এর ভগ্নাংশ; তখনো
বৃষ্টির বাজনা থামে নি। সোফায়
গা এলিয়ে হঠাৎ তুমি বললে, ‘ধরা যাক তোমার
ডান হাত আমার হাতে এসে নীড় বাঁধলো
চিরস্থায়ী বন্দোবস্তের ধরনে, তখন কী করবে তুমি?’

চমকে উঠলাম। আমিতো সেই কবে থেকে
প্রবেশ করতে চাই তোমার একলা ভেতরে,
জাগিয়ে তুলতে চাই তোমার
অত্যন্ত ভেতরকার তোমাকে আর তোমার সত্তায় সরাসরি
মিশিয়ে দিতে চাই আমার সত্তা।
জীবনানন্দের কাব্যসম্ভার থেকে
চোখ তুলে তুমি তাকালে
আমার মধ্যবিত্ত সংস্কারে আরণ্যক ঝড় জাগিয়ে।
তোমার দৃষ্টি এবং হাসিতে ক্রমাগত
কাঁপতে থাকে কয়েক শতাব্দীর আলো-অন্ধকার।"
আশা (পুবের হাওয়া কাব্যগ্রন্থ),কাজী নজরুল ইসলাম,"মহান তুমি প্রিয়
এই কথাটির গৌরবে মোর চিত্ত ভরে দিয়ো।
অনেক আশায় বসে আছি যাত্রা-শেষের পর
তোমায় নিয়েই পথের পারে বাঁধব আমার ঘর –
                                হে চির-সুন্দর!
পথ শেষ সেই তোমায় যেন করতে পারি ক্ষমা,
                 হে মোর কলঙ্কিনী প্রিয়তমা!
সেদিন যেন বলতে পারি, ‘এসো এসো প্রিয়,
বক্ষে এসো এসো আমার পূত কমনীয়!’
          হায় হারানো লক্ষ্মী আমার! পথ ভুলেছ বলে
          চির-সাথি যাবে তোমার মুখ ফিরিয়ে চলে?
          জান ওঠে হায় মোচড় খেয়ে চলতে পড়ি টলে –
          অনেক জ্বালায় জ্বলে প্রিয় অনেক ব্যথায় গলে!
বারে বারে নানান রূপে ছলতে আমায় শেষে,
কলঙ্কিনী! হাতছানি দাও সকল পথে এসে
                                কুটিল হাসি হেসে?
          ব্যথায় আরো ব্যথা হানাই যে সে!
তুমি কি চাও তোমার মতোই কলঙ্কী হই আমি?
তখন তুমি সুদূর হতে আসবে ঘরে নামি –
          হে মোর প্রিয়, হে মোর বিপথগামী!
পথের আজও অনেক বাকি,
          তাই যদি হয় প্রিয় –
পথের শেষে তোমায় পাওয়ার যোগ্য করেই নিয়ো॥"
আশা ভরসা,জীবনানন্দ দাশ,"ইতিহাসপথ বেয়ে অবশেষে এই
শতাব্দীতে মানুষের কাজ
আশায় আলোয় শুরু হয়েছিল বুঝি- শুভ্র কথা
বলা হতেছিল;- রৌদ্রে জলে ভালোলেগেছিল
শরীরকে- জীবনকে।

কিন্তু তবু সবি প্রিয় মানুষের হাতে
অপ্রিয় প্রহার হয়ে মূল্যহীন মানুষের গায়ে
আশ্চর্য মৃত্যুর মত মূল্য হয়- হিম হয়।

মানুষের সভ্যতার বয়ঃসন্ধি দোষ
হয়তো কাটেনি আজো, তাই
এরকমই হতে হবে আরো রাত্রি দিন;-
নক্ষত্র সূর্যের সাথে সঞ্চালিত হয়ে তবু আলোকের পথে
মৃত ম্যামথের কাছে কুহেলিত ঋণ 
শেষ ক'রে মানুষ সফল হতে পারে
উৎসাহ সংকল্প প্রেমে মূল্যের অক্ষুন্ন সংস্কারে;
আশা করা যাক।"
আশ্চর্য,শামসুর রাহমান,"আমার সত্তায় উদ্ভাসিত রৌদ্রী একটি সকাল,
অস্তিত্বের তটরেখা গুঞ্জরিত সানাইয়ের সুর
ক্ষণে ক্ষণে; দাঁত মাজি, চেয়ে দেখি এইতো অদূরে
উঠোনে কুড়োয় খুশি হল্‌দে পাখি, অসুখী বেড়াল
আমার লেপের নিচে খোঁজে উষ্ণ গুহা; নিম ডাল
নেচে ওঠে অকস্মাৎ। বহুদূর দেশ থেকে এসে
কখনো ফিরে না-যাওয়া বৃদ্ধলোক লাঠি হাতে, হেসে
কুশল শুধান পড়শির-গলিময় ইন্দ্রজাল।

আমার পায়ের নিচে পড়ে আছে খবর কাগজ
নীরব বিশ্বের মতো। কফি খাই, আশ্চর্যের ধূপে
সমাচ্ছন্ন কবিতার খাতা খুলি, বাস্তবের সীমা
ছিঁড়ে ফেলি ফালা ফালা, ছকস্থিত অশ্ব আর গজ
সুনীল প্রান্তরে ছোটে আশ্চর্যের তরঙ্গের রূপে-
সব চে আশ্চর্য তুমি হে আমার আপন প্রতিমা।"
আসিবে তুমি জানি প্রিয়,কাজী নজরুল ইসলাম,"আসিবে তুমি জানি প্রিয়
আনন্দে বনে বসন্ত এলো
ভুবন হল সরসা, প্রিয়-দরশা, মনোহর।

বনানতে পবন অশান্ত হল তাই
কোকিল কুহরে, ঝরে গিরি নির্ঝরিণী ঝর ঝর।

ফুল্ল যামিনী আজি ফুল সুবাসে
চন্দ্র অতন্দ্র সুনীল আকাশে
আনন্দিত দীপান্নিত অম্বর।"
ইচ্ছে ছিলো,হেলাল হাফিজ,"ইচ্ছে ছিলো তোমাকে সম্রাজ্ঞী করে সাম্রাজ্য বাড়াবো
ইচ্ছে ছিলো তোমাকেই সুখের পতাকা করে
শান্তির কপোত করে হৃদয়ে উড়াবো ।

ইচ্ছে ছিলো সুনিপুণ মেকআপ-ম্যানের মতো
সূর্যালোকে কেবল সাজাবো, তিমিরের সারাবেলা
পৌরুষের প্রেম দিয়ে তোমাকে বাজাবো, আহা তুমুল বাজাবো ।

ইচ্ছে ছিলো নদীর বক্ষ থেকে জলে জলে শব্দ তুলে
রাখবো তোমার দুই লাজুক চঞ্চুতে,
জন্মাবধি আমার শীতল চোখ
তাপ নেবে তোমার দু'চোখে ।"
ইচ্ছেগুলি থেঁতলে দিয়ে,শামসুর রাহমান,"ইচ্ছেগুলি থেঁতলে দিয়ে করলে এ কি?
চেয়ে চিন্তে কয়েক বিঘে দুঃখ নিলে?
দুঃখ-দুঃখ বেড়াল শুধু তীক্ষ্ম দাঁতে
মাংস ছিঁড়ে হৃদয় ফুঁড়ে ওষ্ঠে চাটে।
তার সে অঙ্গে সঙ্গ চেয়ে মনের ভেতর
মৎস্য হয়ে কেমন তুমি একলা হ’লে।

তীষণ দগ্ধ দূর শতকী পাখির বাসা
স্বপ্নে কেন ভস্ম ছড়ায় বারে বারে?
বহুকালের উজান বেয়ে জ্বলজ্বলে তার
যুগল বাহু জড়ায় কেন স্মৃতির গ্রীবা?
শিরায় শিরায় এখনো কি জ্বলবে প্রদীপ,
উড়বে পায়রা হৃদয় জুড়ে অবিরত?

এই শহরে নগ্ন পায়ে হাঁটতে হাঁটতে
দেখলে হঠাৎ প্রচুর বেলা অস্ত গেল।
রৌদ্র-সেঁকা শিশিরভেজা জামা তুমি
ছেড়ে ছুড়ে বললে এবার ফিরতে হবে।
ফিরতে গেলেই যায় কি ফেরা? পায়ের নিচে
শুকনো পাতা, ব্যর্থ শিল্প কান্না জোড়ে।

ইচ্ছেগুলি থেঁতলে তুমি সামনে গিয়ে
ক্লান্তভাবে খুললে মুঠি বেলাশেষে-
নেই তো কিছুই, কী-যেন সব ছাইয়ের মতো
পড়ছে ঝরে,বিষণ্নতা আসে ব্যেপে।
বিঘে কয়েক দুঃখে তুমি কেমন ফসল
তুলবে বলো? পঙ্গপালের শব্দ জাগে।"
ইতিহাসের মোড়ে দাঁড়িয়ে ডাকছি,শামসুর রাহমান,"দাঁড়িয়ে এক মহান উৎসবের মুখোমুখি। ভিড়, কোলাহল, আনন্দোচ্ছ্বাস,
আলোকসজ্জা ইত্যাদির মাঝখানে দাঁড়িয়ে নিজেকে খুব নিঃসঙ্গ লাগে। এই
আনন্দ, এই হাস্যরোল কি স্পর্শ করছে না আমাকে? উদ্‌যাপিত হচ্ছে
মুক্তিযুদ্ধের রজত জয়ন্তী। আমাদের গৌরবের বিপুল সূর্যোদয় সারা দেশের
নরনারী এবং শিশুকে চুম্বন করছে। আমি সেই চুম্বনের স্বাদ পাচ্ছি আমার সমগ্র
সত্তায়। এখন আমি গোলাপ, বুলবুল, ভ্রমর এবং স্বর্ণলতাকে ডেকে আনতে
পারি এখানে। আমার ঈষৎ সঙ্কেতে ওরা কথা বলে উঠতে পারে, গাইতে পারে
অনিন্দ্য গান। ওদের ঐকতানে আজকের এই উৎসব পাবে স্বতন্ত্র মাত্রা। এই
তো ওরা উপস্থিত হয়েছে বরণীয় অতিথির মতো। ওরা আমার ইশারার জন্য
অপেক্ষমাণ। বেশিক্ষণ অপেক্ষা করতে হবে না ওদের। আমার ইঙ্গিত এখনি,
এই মুহূর্তেই, পৌঁছে যাবে ওদের কাছে। বেজে উঠবে বিউগল, ওস্তাদের
সেতার, রাখালের বাঁশি। আমার চোখ, আমার ওষ্ঠ, কাঁধ, বুক, দু’টি হাত
উৎসবের আলোয় উদ্‌ভাসিত, আমি রূপান্তরিত হচ্ছি একটু-একটু করে। আমি
কি এখন মিকেলেঞ্জোলোর গড়া কোনও ভাস্কর্য যা অপরূপ সৃজনশীলতায়
দেদীপ্যমান, জীবনের ছন্দে স্পন্দিত? আমি নিজেই এক অনন্য উৎসব, যেমন
গুণী সুরের ঝরনা বইয়ে দিয়ে নিজেই হয়ে যান কোনও তান?
মুক্তিযুদ্ধের রজত জয়ন্তী উৎসবের মুখোমুখি দাঁড়িয়ে আমার মনে হলো, আমি
কি কথা বলাতে পারবো গত সিকি শতাব্দীকে? পঁচিশটি বছর কি ফোয়ারা হয়ে
উঠবে অপ্রতিরোধ্য উচ্ছ্বাসে? পঁচিশটি বছর কণ্ঠ থেকে কোনও কথা ঝরানোর
আগেই ঈশান কোণ থেকে এক খণ্ড মেঘ আমার ওপর ঝুঁকে বললো, “যে
মানুষটি একজন উৎকৃষ্ট মৃৎশিল্পীর মতো স্বদেশকে প্রতিমা করে তুলতে
চেয়েছিলেন, চার বছর অস্তমিত না হতেই তাঁকে গ্রাস করল তাঁরই সৃষ্টি!” আজ
উৎসবের আনন্দমুখর প্রহরে এই সত্য ভুলে থাকা অপরাধ, গ্রীবা বাড়িয়ে
বললো সরোবরের শ্বেতশুভ্র রাজহাঁস। বাঁশবনের আড়াল থেকে গহিন গাঙের
ঢেউয়ে শব্দের মতো কণ্ঠস্বরে কে যেন বললেন, ‘দুর্ভাগা দেশে এরকমই হয়।
আমাদের কি মনে নেই তাঁর কথা, যিনি মানবগণের অন্তরে ভিন্ন এক রাজ্য
প্রতিষ্ঠায় ব্রতী হয়েছিলেন? তাঁরই মাথায় কাঁটার মুকুট পরিয়ে তাঁকে ক্রুশবিদ্ধ
করা হয়েছিল গলগোথায় চোর-ডাকাতদের সঙ্গে। স্বর্নরাজ্য প্রতিষ্ঠার প্রয়াসের
এই তো পুরস্কার।
সোনার বাংলা ছেয়ে গেছে গুণ্ডায়-নিখাদ গুণ্ডা, রাজনৈতিক গুণ্ডা, ধর্মীয় গুণ্ডা,
সাহিত্যিক গুণ্ডা আর সাংস্কৃতিক গুণ্ডার তাণ্ডবে উৎকৃষ্টগণ গা ঢাকা দিয়েছেন
অন্তরালে। তাঁদের কথামালা, পরামর্শ গড়াগড়ি যায় আবর্জনার স্তূপে, পশুর
মলে। প্রতিক্রিয়াশীলতার বিরুদ্ধে, ধর্মান্ধতার বিরুদ্ধে লড়াই করছেন যেসব
লেখক তাঁদের কলম ছিনিয়ে নেওয়া ষড়যন্ত্র চলছে। রাজনীতি-বিদ্বেষী
বুদ্ধিজীবী, কবি-সাহিত্যিক কেউ কেউ বস্তাপচা ধোঁয়াটে থিওরি কপচিয়ে কেউ
কেউ ধর্মীয় আখড়ায় ফতোয়া বিতরণ করে চমৎকার মশগুল। অনেকে আবার
‘ফুলচন্দন পড়ুক তাদের মুখে’ বলে ঢোলক বাজাচ্ছে ঋতুতে ঋতুতে।
যে-দেশে রজব আলী চাষির সানকিতে আজ কী শাদা কী লাল কোনও ভাতই
ফুটে থাকে না ফুলের মতো, রজব আলীর বউ রাহেলা ছেঁড়া শাড়ি পড়ে হি
হি কাঁপে শীতে যে-দেশে, যে-দেশে নাছোড় অপুষ্টিতে দৃষ্টি হারায় অগণিত
শিশু, যে-দেশে ফতোয়াবাজদের মধ্যযুগীয় উৎপীড়নে, পাথর ও দোররার
আঘাতে সিলেটের নূরজাহান এবং তারই মতো আরও কোনও কোনও বঙ্গ-
দুহিতার মৃত্যুকালীন আর্তনাদ রোদে পোড়ে, বৃষ্টিতে ভেজে, বেনো জলে
ভাসে, যে-দেশে ইয়াসমিনের মতো কোমল মেয়ে পুলিশের পৈশাচিক হি-হি
হা-হা ধর্ষণের পরে খুন হয়, সে-দেশে আধুনিকতা এবং উত্তর-আধুনিকতা
নিয়ে বুধবৃন্দ ও কবিকুলের বাহাস এক তুমুল তামাশা ছাড়া আর কিছুই মনে
হয় না। যে-দেশে নকল নায়কের স্তবে অনেকে মাতোয়ারা, ভুল নেতা নিয়ে
হৈ-হুল্লোড়, নাচানাচি যে-দেশে লক্ষণীয় সংখ্যালঘু সম্প্রদায়ের ক্রমাগত নীরব
নিষ্ক্রমণ, যে-দেশে শহীদ জননীর ভাবমূর্তিতে বিষ্ঠা ছুঁড়ে দেয় দালালের দল,
সে-দেশে কোনও উৎসব উদ্‌যাপন কেমন খাপছাড়া মনে হয়।
তবু মুক্তিযুদ্ধের, স্বাধীনতার রজত জয়ন্তী উপলক্ষে আয়োজিত মহান উৎসবের
বড়ো প্রয়োজন আমাদের। এই শহর, যাকে আমি আবাল্য ভালোবাসি, এই
স্বাধীন, প্রিয় শহর আমাকে ঠেলে দিচ্ছে বিপন্নতায়, বুঝিবা পাঠাতে চায়
নির্বাসনে, যেমন মহাকবি দান্তেকে পাঠিয়েছিল তাঁর নিজের শহর। চৌদিক
থেকে নিরাপত্তাহীনতার আঁকশি ঘিরে ধরছে আমাকে, তবু আমি আজও অসীম
সাহসে টিকে আছি আপন বসতিতে। এই তো আমি দাঁড়িয়ে আছি এই
আলো-ঝলসিত শহরে পঁচিশ বছরকে কথা বলানোর আশায়। আমার চৌদিকে
প্রবল জনস্রোত। সুপ্রিয়া গৌরী, তুমি এসে দেখে যাও এই অতুলনীয়
দৃশ্যাবলি। আমি আজ ইতিহাসের মোড়ে দাঁড়িয়ে তোমাকে ডাকছি। আমাদের
এগিয়ে যেতে হবে সকল বাধা ডিঙিয়ে, পশ্চাৎপদতার কুহকের হাতছানি
এড়িয়ে নতুন সভ্যতার দিকে। বিজয়োৎসব আমাদের হাতে ধরিয়ে দিয়েছে
অনির্বাণ মশাল।"
"ঈদকার্ড, ১৯৭৭",শামসুর রাহমান,"হঠাৎ হারিয়ে ফেলি যদি দৃষ্টিশক্তি কোনোদিন,
তবুও তোমাকে আমি দেখবো সর্বদা সবখানে।
যদি পক্ষাঘাতে হই হীনবল, চলৎশক্তিহীন,
তথাপি নিশ্চিত আমি ছুটে যাবো তোমারই বাগানে,
যেখানে থাকবে বসে তুমি সবুজ মেঘের মতো
ঘাসে কিংবা ডাল থেকে অন্যমনে তুলে নেবে ফুল।
যদি কোনো দ্রুত ধাবমান যান কিংবা দৃষ্ট ক্ষত
কেড়ে নেয় আমার দু’হাত, তবু তোমাকে ব্যাকুল
বাঁধবো নিবিড় আলিঙ্গনে। যদি ওষ্ঠ মুছে যায়
নিষ্ঠুর ফুৎকারে কারো, তবু গাঢ় করবো চুম্বন
তোমার মদির তাপময় অস্তিত্বের কিনারায়
বারংবার, যদি স্তদ্ধ হয়ে যায় এই হৃৎস্পন্দন
আমার, তবুও শিরাপুঞ্জে প্রতি রক্তকণিকায়
তোমাকে ধারণ করে একা পড়ে থাকবো শয্যায়।"
উৎসর্গ (চৈতালি কাব্যগ্রন্থ),রবীন্দ্রনাথ ঠাকুর,"আজি মোর দ্রাক্ষাকুঞ্জবনে
গুচ্ছ গুচ্ছ ধরিয়াছে ফল।
  পরিপূর্ণ বেদনার ভরে
  মুহূর্তেই বুঝি ফেটে পড়ে,
  বসন্তের দুরন্ত বাতাসে
  নুয়ে বুঝি নমিবে ভূতল—
  রসভরে অসহ উচ্ছ্বাসে
  থরে থরে ফলিয়াছে ফল।
 
তুমি এসো নিকুঞ্জনিবাসে,
এসো মোর সার্থকসাধন।
  লুটে লও ভরিয়া অঞ্চল
  জীবনের সকল সম্বল,
  নীরবে নিতান্ত অবনত
  বসন্তের সর্ব-সমর্পণ—
  হাসি মুখে নিয়ে যাও যত
  বনের বেদননিবেদন।
 
শুক্তিরক্ত নখরে বিক্ষত
ছিন্ন করি ফেলো বৃন্তগুলি।
  সুখাবেশে বসি লতামূলে
  সারাবেলা অলস অঙ্গুলে
  বৃথা কাজে যেন অন্যমনে
  খেলাচ্ছলে লহো তুলি তুলি—
  তব ওষ্ঠে দশনদংশনে
  টুটে যাক পূর্ণ ফলগুলি।
 
আজি মোর দ্রাক্ষাকুঞ্জবনে
গুঞ্জরিছে ভ্রমর চঞ্চল।
  সারাদিন অশান্ত বাতাস
  ফেলিতেছে মর্মরনিশ্বাস,
  বনের বুকের আন্দোলনে
  কাঁপিতেছে পল্লব-অঞ্চল—
  আজি মোর দ্রাক্ষাকুঞ্জবনে
  পুঞ্জ পুঞ্জ ধরিয়াছে ফল। "
উত্তর,শামসুর রাহমান,"তুমি হে সুন্দরীতমা নীলিমার দিকে তাকিয়ে বলতেই পারো
‘এই আকাশ আমার’
কিন্তু নীল আকাশ কোনো উত্তর দেবেনা।

সন্ধ্যেবেলা ক্যামেলিয়া হাতে নিয়ে বলতেই পারো,
‘ফুল তুই আমার’
তবু ফুল থাকবে নীরব, নিজের সৌরভে আচ্ছন্ন হয়ে।

জ্যোত্স্না লুটিয়ে পড়লে তোমার ঘরে,
তোমার বলার অধিকার আছে, ‘এ জ্যোত্স্না আমার’
কিন্তু, চাঁদিনী থাকবে নিরুত্তর।

মানুষ আমি আমার চোখে চোখ রেখে
যদি বলো, - ‘তুমি একান্ত আমার’, কী করে থাকবো আমি নির্বাক ?
""তারায়-তারায় রটিয়ে দেবো, ‘আমি তোমার, তুমি আমার’।"
উপহার,জয় গোস্বামী,
উল্টো দিকে ছুটে যাচ্ছে ট্রেন,শামসুর রাহমান,"অন্ধের মতোন আমি অন্ধদের মধ্যে সারাক্ষণ
হাতড়ে বেড়াই কী-যে বুঝি না নিজেই।
পুরোনো চিঠির খাম? চকচকে শূন্য থালা, নাকি
টগর, মল্লিকা ফুটফুটে?
দলছুট কাকাতুয়া? রঙিন টিকিট?
কোথাও না-পাওয়া
কখনো না-দেখা
মানুষের হৃৎপিণ্ডের মতো থর থর কোনো প্রাণী?
মেঘের জঙ্গল থেকে নেমে আসা এবং হাওয়ায়
ভাসা নানারঙা ঘোড়াদের ফুল্ল দানাপানি? শোনো,
যা হোক একটা কিছু হাতে
এলে, ছুঁতে গেলে স্মৃতিময়, স্মৃতিহীন
যে-কোনো জিনিশ,
স্বস্তি পাবো ভেবে ঘুরি সবখানে। কখনো বাড়াই হাত ডানে,
কখনো-বা যাই বাঁয়ে, একটানা খুঁজি।
মাঝে-মধ্যে প্রশ্ন করি-দোটানায়
এভাবে ফুরোবে তবে জীবনের পুঁজি রুক্ষ পথে, বধিরের
আস্তানার?
বিবর্ণ যুগল চেয়ারের অভ্যন্তর থেকে
ভেসে আসে স্বর
এখানে খুঁজো না কিছু, হবে প্রতিহত।
দেয়ালে সন্তের চোখ, ধারালো, সুদুর-
চোখ ডেকে বলে
এখানে খুঁজো না কিছু, হবে প্রতিহত।
তুমি শত লোক হয়ে খুঁজলেও আহতের ব্যান্ডেজের মতো
সান্তনা পাবে না।
ফিরে যাও, তুমি ফিরে যাও।
ভয়-পাওয়া শিশুর মতোন
ভয় চোখ ঢেকে থাকে পাঁজরের ভেতরে, আমার,
বলে শিউরোনো কণ্ঠস্বরেঃ
এখানে খুঁজো না কিছু অন্ধ নিকেতনে,
ফিরে যাও, তুমি ফিরে যাও।

মানুষের হৃদয়ের ভেতরে চালিয়ে দিয়ে খুব
কম্প্রমান পাঁচটি আঙুল
ভীষণ পাথুরে কিছু করি অনুভব, বাড়ে উপদ্রব।
গোলাপের গল্প শুনে সাত তাড়াতাড়ি
গোলাপ বাগানে যাই, দরজা পেরিয়ে বুঝি, রকের বাশিন্দা
অতিশয় ধাপ্পাবাজ সে কথক। কীটের পাহাড়ে
গৌতম বুদ্ধের পোজে
বাহারী পোশাক পরে বসে আছে সঙ, কোলে তার
কংকালের ভায়োলিন, তার চক্ষুদ্বয়
পাখির পুরীষে ঢাকা, আমি
দ্রুত ফিরে এসে দেখি ক্রমাগত উল্টো দিকে ছুটে যাচ্ছে ট্রেন।"
এই জ্যোৎস্নারাতে জাগে আমার প্রাণ,রবীন্দ্রনাথ ঠাকুর,"এই জ্যোৎস্নারাতে জাগে আমার প্রাণ;
পাশে তোমার হবে কি আজ স্থান।
দেখতে পাব অপূর্ব সেই মুখ,
রইবে চেয়ে হৃদয় উৎসুক,
বারে বারে চরণ ঘিরে ঘিরে
ফিরবে আমার অশ্রুভরা গান?

সাহস করে তোমার পদমূলে
আপনারে আজ ধরি নাই যে তুলে,
পড়ে আছি মাটিতে মুখ রেখে,
ফিরিয়ে পাছে দাও হে আমার দান।
আপনি যদি আমার হাতে ধরে
কাছে এসে উঠতে বল মোরে,
তবে প্রাণের অসীম দরিদ্রতা
এই নিমেষেই হবে অবসান।"
এই তো তোমার প্রেম,রবীন্দ্রনাথ ঠাকুর,"এই তো তোমার প্রেম, ওগো
হৃদয়হরণ।
এই-যে পাতায় আলো নাচে
সোনার বরন।
এই-যে মধুর আলসভরে
মেঘ ভেসে যায় আকাশ-‘পরে,
এই-যে বাতাস দেহে করে
অমৃত ক্ষরণ।
এই তো তোমার প্রেম,ওগো
হৃদয়হরণ।

প্রভাত-আলোর ধারায় আমার
নয়ন ভেসেছে।
এই তোমারি প্রেমের বাণী
প্রাণে এসেছে।
তোমারি মুখ ওই নুয়েছে,
মুখে আমার চোখ থুয়েছে,
আমার হৃদয় আজ ছুঁয়েছে
তোমারি চরণ।"
এই দৃশ্য,সুনীল গঙ্গোপাধ্যায়,"হাঁটুর ওপরে থুতনি, তুমি বসে আছো
নীল ডুরে শাড়ী, স্বপ্নে পিঠের ওপরে চুল খোলা
বাতাসে অসংখ্য প্রজাপতি কিংবা সবই অভ্রফুল?
হাঁটুর ওপরে থুতনি, তুমি বসে আছো
চোখ দুটি বিখ্যাত সুদূর, পায়ের আঙুলে লাল আভা।
ডান হাতে, তর্জনীতে সামান্য কালির দাগ
                                      একটু আগেই লিখছিলে
বাতাসে সুগন্ধ, কোথা যেন শুরু হলো সন্ধ্যারতি
অন্যদেশ থেকে আসে রাত্রি, আজ কিছু দেরি হবে
হাঁটুর ওপরে থুতনি, তুমি বসে আছো
শিল্পের শিরায় আসে উত্তেজনা, শিল্পের দু’চোখে
                                                    পোড়ে বাজি

মোহময় মিথ্যেগুলি চঞ্চল দৃষ্টির মতো, জোনাকির মতো উড়ে যায়
কোনোদিন দুঃখ ছিল, সেই কথা মনেও পড়ে না
হাঁটুর ওপরে থুতনি, তুমি বসে আছো
সময় থামে না, জানি, একদিন তুমি আমি সময়ে জড়াবো
সময় থামে না, একদিন মৃত্যু এসে নিয়ে যাবে
অতৃপ্ত বাসনা, ছোট ছোট সুখ, চলে যাবে
                             দিগন্ত পেরিয়ে
নতুন মানুষ এসে গড়ে দেবে নতুন সমাজ
নতুন বাতাস এসে মুছে দেবে পুরোনো নিঃশ্বাস,
                                           তবু আজ
হাঁটুর ওপরে থুতনি, তুমি বসে আছো
এই বসে থাকা, এই পিঠের ওপরে খোলা চুল,
                               আঙুলে কালির দাগ
এই দৃশ্য চিরকাল, এর সঙ্গে অমরতা সখ্য করে নেবে
হাঁটুর ওপরে থুতনি, তুমি বসে আছো…"
এই পৃথিবীর,জীবনানন্দ দাশ,"এই পৃথিবীর বুকের ভিতরে কোথাও শান্তি আছে;
অঘ্রাণ মাস রাত্রি হ’লে অনেক বিষয়াবিষের সমাধান
মাঠে জলে পাখির নীড়ে নক্ষত্রেতে থাকে;
অমেয় গোলকধাঁধাঁয় ঘুরে প্রাণ
চেষ্টা করে সমাজ জাতি সময় সৃষ্টি সঠিক বুঝে নিতে।
সকল প্রয়াণ সফল হবে গ্লাশিয়ারের দীপ্তি আসার আগে;
এখন রৌদ্রে আজন্মকাল অনুষ্ঠানের দিন;
সফল হতে ইতিহাসের অনেক দিন লাগে।"
